,REF_DATE,GEO,DGUID,Class of electricity producer,Type of electricity generation,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,year,Prov
38528,2019-08-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,0.0,,,,0,2019,AB
38548,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,4271766.0,,,,0,2019,BC
38552,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,650709.0,,,,0,2019,BC
38553,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2019,BC
38554,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,113455.0,,,,0,2019,BC
38555,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,206.0,,,,0,2019,BC
38556,2019-08-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2019,BC
38578,2019-08-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,29188.0,,,,0,2019,YT
38581,2019-08-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,1531.0,,,,0,2019,YT
38582,2019-08-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,0.0,,,,0,2019,YT
38583,2019-08-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2019,YT
38584,2019-08-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2019,YT
38599,2019-08-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,14775.0,,,,0,2019,NT
38602,2019-08-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,34826.0,,,,0,2019,NT
38603,2019-08-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,1306.0,,,,0,2019,NT
38604,2019-08-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,25.0,,,,0,2019,NT
38620,2019-08-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2019,NU
38623,2019-08-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,13945.0,,,,0,2019,NU
38624,2019-08-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2019,NU
38625,2019-08-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2019,NU
38673,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,2418041.0,,,,0,2019,NL
38677,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,99913.0,,,,0,2019,NL
38678,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2019,NL
38679,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,14121.0,,,,0,2019,NL
38680,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2019,NL
38681,2019-09-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484808,2.1.10,0.0,,,,0,2019,NL
38703,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v1059484874,3.1.2,0.0,,,,0,2019,PE
38707,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484838,3.1.11,342.0,,,,0,2019,PE
38708,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484881,3.1.7,0.0,,,,0,2019,PE
38709,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174714,3.1.8,38956.0,,,,0,2019,PE
38710,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484911,3.1.9,53.0,,,,0,2019,PE
38711,2019-09-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484811,3.1.10,0.0,,,,0,2019,PE
38729,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174721,4.1.2,39973.0,,,,0,2019,NS
38732,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484841,4.1.11,477968.0,,,,0,2019,NS
38733,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v44174724,4.1.7,0.0,,,,0,2019,NS
38734,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174725,4.1.8,73620.0,,,,0,2019,NS
38735,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484914,4.1.9,0.0,,,,0,2019,NS
38736,2019-09-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484814,4.1.10,0.0,,,,0,2019,NS
38755,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174736,5.1.2,119377.0,,,,0,2019,NB
38757,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174738,5.1.4,473096.0,,,,0,2019,NB
38760,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484844,5.1.11,341947.0,,,,0,2019,NB
38761,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484885,5.1.7,0.0,,,,0,2019,NB
38762,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845222,5.1.8,64376.0,,,,0,2019,NB
38763,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484917,5.1.9,0.0,,,,0,2019,NB
38764,2019-09-01,New Brunswick,2016A000213,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484817,5.1.10,0.0,,,,0,2019,NB
38786,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174752,6.1.2,13696188.0,,,,0,2019,QC
38788,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174754,6.1.4,,..,,,0,2019,QC
38791,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484847,6.1.11,164693.0,,,,0,2019,QC
38792,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174757,6.1.8,845243.0,,,,0,2019,QC
38793,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484920,6.1.9,132.0,,,,0,2019,QC
38794,2019-09-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2019,QC
38814,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,2465731.0,,,,0,2019,ON
38816,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,7727128.0,,,,0,2019,ON
38819,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,841788.0,,,,0,2019,ON
38820,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,659654.0,,,,0,2019,ON
38821,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,239363.0,,,,0,2019,ON
38822,2019-09-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2019,ON
38843,2019-09-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,2706339.0,,,,0,2019,MB
38847,2019-09-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,7714.0,,,,0,2019,MB
38848,2019-09-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,64114.0,,,,0,2019,MB
38849,2019-09-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2019,MB
38850,2019-09-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2019,MB
38869,2019-09-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,238270.0,,,,0,2019,SK
38873,2019-09-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1603914.0,,,,0,2019,SK
38874,2019-09-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,53343.0,,,,0,2019,SK
38875,2019-09-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2019,SK
38876,2019-09-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,9449.0,,,,0,2019,SK
38895,2019-09-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,267883.0,,,,0,2019,AB
38899,2019-09-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,5956221.0,,,,0,2019,AB
38900,2019-09-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,313647.0,,,,0,2019,AB
38901,2019-09-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,1992.0,,,,0,2019,AB
38902,2019-09-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,26.0,,,,0,2019,AB
38922,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,3905103.0,,,,0,2019,BC
38926,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,505898.0,,,,0,2019,BC
38927,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2019,BC
38928,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,119932.0,,,,0,2019,BC
38929,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,170.0,,,,0,2019,BC
38930,2019-09-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2019,BC
38952,2019-09-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,31254.0,,,,0,2019,YT
38955,2019-09-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,2572.0,,,,0,2019,YT
38956,2019-09-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,0.0,,,,0,2019,YT
38957,2019-09-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2019,YT
38958,2019-09-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2019,YT
38973,2019-09-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,18524.0,,,,0,2019,NT
38976,2019-09-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,34268.0,,,,0,2019,NT
38977,2019-09-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,1346.0,,,,0,2019,NT
38978,2019-09-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,29.0,,,,0,2019,NT
38994,2019-09-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2019,NU
38997,2019-09-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,14612.0,,,,0,2019,NU
38998,2019-09-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2019,NU
38999,2019-09-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2019,NU
39047,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174696,2.1.2,2867458.0,,,,0,2019,NL
39051,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484835,2.1.11,217626.0,,,,0,2019,NL
39052,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484878,2.1.7,0.0,,,,0,2019,NL
39053,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v54257822,2.1.8,16249.0,,,,0,2019,NL
39054,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484908,2.1.9,0.0,,,,0,2019,NL
39055,2019-10-01,Newfoundland and Labrador,2016A000210,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484808,2.1.10,0.0,,,,0,2019,NL
39077,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v1059484874,3.1.2,0.0,,,,0,2019,PE
39081,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484838,3.1.11,357.0,,,,0,2019,PE
39082,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484881,3.1.7,0.0,,,,0,2019,PE
39083,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174714,3.1.8,42504.0,,,,0,2019,PE
39084,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484911,3.1.9,38.0,,,,0,2019,PE
39085,2019-10-01,Prince Edward Island,2016A000211,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484811,3.1.10,0.0,,,,0,2019,PE
39103,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174721,4.1.2,38781.0,,,,0,2019,NS
39106,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484841,4.1.11,559825.0,,,,0,2019,NS
39107,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v44174724,4.1.7,0.0,,,,0,2019,NS
39108,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174725,4.1.8,88547.0,,,,0,2019,NS
39109,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484914,4.1.9,0.0,,,,0,2019,NS
39110,2019-10-01,Nova Scotia,2016A000212,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484814,4.1.10,0.0,,,,0,2019,NS
39129,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174736,5.1.2,192293.0,,,,0,2019,NB
39131,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174738,5.1.4,490128.0,,,,0,2019,NB
39134,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484844,5.1.11,310352.0,,,,0,2019,NB
39135,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484885,5.1.7,0.0,,,,0,2019,NB
39136,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845222,5.1.8,61371.0,,,,0,2019,NB
39137,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484917,5.1.9,0.0,,,,0,2019,NB
39138,2019-10-01,New Brunswick,2016A000213,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484817,5.1.10,0.0,,,,0,2019,NB
39160,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174752,6.1.2,13340800.0,,,,0,2019,QC
39162,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174754,6.1.4,,..,,,0,2019,QC
39165,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484847,6.1.11,145003.0,,,,0,2019,QC
39166,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174757,6.1.8,875713.0,,,,0,2019,QC
39167,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484920,6.1.9,104.0,,,,0,2019,QC
39168,2019-10-01,Quebec,2016A000224,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484820,6.1.10,0.0,,,,0,2019,QC
39188,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174770,7.1.2,2790599.0,,,,0,2019,ON
39190,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Nuclear steam turbine,Megawatt hours,210,units,0,v44174772,7.1.4,7905347.0,,,,0,2019,ON
39193,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484850,7.1.11,592717.0,,,,0,2019,ON
39194,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174775,7.1.8,812601.0,,,,0,2019,ON
39195,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v54259610,7.1.9,151452.0,,,,0,2019,ON
39196,2019-10-01,Ontario,2016A000235,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v67408299,7.1.10,0.0,,,,0,2019,ON
39217,2019-10-01,Manitoba,2016A000246,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174789,8.1.2,2493915.0,,,,0,2019,MB
39221,2019-10-01,Manitoba,2016A000246,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484853,8.1.11,10882.0,,,,0,2019,MB
39222,2019-10-01,Manitoba,2016A000246,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v53845224,8.1.8,92688.0,,,,0,2019,MB
39223,2019-10-01,Manitoba,2016A000246,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1061444188,8.1.9,0.0,,,,0,2019,MB
39224,2019-10-01,Manitoba,2016A000246,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484824,8.1.10,0.0,,,,0,2019,MB
39243,2019-10-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174802,9.1.2,253918.0,,,,0,2019,SK
39247,2019-10-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484856,9.1.11,1752100.0,,,,0,2019,SK
39248,2019-10-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174806,9.1.8,82258.0,,,,0,2019,SK
39249,2019-10-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484924,9.1.9,0.0,,,,0,2019,SK
39250,2019-10-01,Saskatchewan,2016A000247,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v62783204,9.1.10,8947.0,,,,0,2019,SK
39269,2019-10-01,Alberta,2016A000248,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174631,10.1.2,168092.0,,,,0,2019,AB
39273,2019-10-01,Alberta,2016A000248,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484859,10.1.11,6335438.0,,,,0,2019,AB
39274,2019-10-01,Alberta,2016A000248,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174635,10.1.8,509060.0,,,,0,2019,AB
39275,2019-10-01,Alberta,2016A000248,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484927,10.1.9,1705.0,,,,0,2019,AB
39276,2019-10-01,Alberta,2016A000248,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v72497746,10.1.10,3994.0,,,,0,2019,AB
39296,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174647,11.1.2,4841417.0,,,,0,2019,BC
39300,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484862,11.1.11,411967.0,,,,0,2019,BC
39301,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Tidal power turbine,Megawatt hours,210,units,0,v1059484888,11.1.7,0.0,,,,0,2019,BC
39302,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484899,11.1.8,163672.0,,,,0,2019,BC
39303,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484930,11.1.9,112.0,,,,0,2019,BC
39304,2019-10-01,British Columbia,2016A000259,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v1059484829,11.1.10,0.0,,,,0,2019,BC
39326,2019-10-01,Yukon,2016A000260,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174662,12.1.2,33226.0,,,,0,2019,YT
39329,2019-10-01,Yukon,2016A000260,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484865,12.1.11,9181.0,,,,0,2019,YT
39330,2019-10-01,Yukon,2016A000260,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v44174664,12.1.8,0.0,,,,0,2019,YT
39331,2019-10-01,Yukon,2016A000260,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484933,12.1.9,0.0,,,,0,2019,YT
39332,2019-10-01,Yukon,2016A000260,Total all classes of electricity producer,Other types of electricity generation,Megawatt hours,210,units,0,v99450114,12.1.10,0.0,,,,0,2019,YT
39347,2019-10-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174672,13.1.2,20373.0,,,,0,2019,NT
39350,2019-10-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484868,13.1.11,37760.0,,,,0,2019,NT
39351,2019-10-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v65654502,13.1.8,1872.0,,,,0,2019,NT
39352,2019-10-01,Northwest Territories,2016A000261,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484936,13.1.9,11.0,,,,0,2019,NT
39368,2019-10-01,Nunavut,2016A000262,Total all classes of electricity producer,Hydraulic turbine,Megawatt hours,210,units,0,v44174684,14.1.2,0.0,,,,0,2019,NU
39371,2019-10-01,Nunavut,2016A000262,Total all classes of electricity producer,Total electricity production from combustible fuels,Megawatt hours,210,units,0,v1059484871,14.1.11,16270.0,,,,0,2019,NU
39372,2019-10-01,Nunavut,2016A000262,Total all classes of electricity producer,Wind power turbine,Megawatt hours,210,units,0,v1059484904,14.1.8,0.0,,,,0,2019,NU
39373,2019-10-01,Nunavut,2016A000262,Total all classes of electricity producer,Solar,Megawatt hours,210,units,0,v1059484939,14.1.9,0.0,,,,0,2019,NU
